"j","mu","sigma_2"
1,0.000212308488731216,0.00108980432563546
2,-0.00546951151348557,0.00133469830048718
3,-0.145959284189817,0.00141545528254276
4,0.321863881836206,0.00165017276819155
5,0.198590019317056,0.0016019878926634
6,-0.397580502603297,0.0557020778136811
7,0.223029873454543,0.0373121424783759
8,0.0201383935297542,0.0146003508910624
9,0.0946474611992183,0.0091211379614103
10,0.430785821524644,0.0098663299847826
11,0.0417443861495008,0.00161384436818411
12,-0.362770550905381,0.00111603263841866
