"j","mu","sigma_2"
1,8.39068191166525,1.25913681380814e-05
2,-0.0150770661689965,0.00141040271812692
3,-0.00735581469740193,0.00160921972152905
4,0.00589323661832231,0.00095768490886829
5,0.0175827394832576,0.00160664788482317
6,-0.00702836909532853,0.00182232258748224
7,0.00165406773183106,0.00185285951335141
8,-0.000400454378794657,0.00170143654485764
9,-0.0247207438143768,0.0023790122060264
10,0.00356425775185087,0.00184947141193655
11,0.00162516021706538,0.00129874735849114
12,0.0126198952931368,0.00172102962171616
13,-0.00253452068188459,0.000845939185287231
14,0.0198262153058238,0.000981809669429976
15,-0.0262189657893982,0.00202367943839349
16,-8.83005895140065e-06,0.00139878902975384
17,0.0104035405590351,0.00113095177962633
18,-0.00316217480829206,0.00120447928562057
19,-0.0187325751999254,0.00135426459105219
20,0.0172451693800835,0.00255400941681051
21,-0.00650531275916982,0.00139451098517099
22,0.00256011524908866,0.00157454576494423
23,-0.0065619975536132,0.0013241616619434
24,-0.00844272588916051,0.00187093622634362
25,-0.0032937098372307,0.00172248143157604
26,-0.00304818218506409,0.0019437195530439
27,-7.69474300114092e-05,0.00118480751841732
28,-0.00714304474604105,0.00168440136944202
29,0.00562365486349665,0.00140990058092065
30,0.0087128216589194,0.0014256420366618
31,-0.00404450647432292,0.00139660233679644
32,-0.0481354522875051,0.00207372588298713
33,-0.0057658961581144,0.00131368913655039
34,0.00634256192706095,0.00172605635152292
35,0.00985661874248818,0.0011095026976011
36,-0.00856326067180424,0.00126479306661441
37,0.0143776354094319,0.0014933207502204
38,-0.00213736763491285,0.00108816944928211
39,0.0103919610662073,0.00151293352558718
40,0.0151931565044341,0.00127138081913556
41,0.00296354643991892,0.00147810270254025
42,-0.0232937477442962,0.00110259584386428
43,-0.00179485929607603,0.00154276243921092
44,-0.0103741177219604,0.00151638453843254
45,-0.00758728331682745,0.0015467416299988
46,-7.56968170635419e-05,0.00172202347085644
47,0.0094870630624454,0.000967294063819997
48,-0.0107271215555538,0.00115968906458973
49,0.0188027304484789,0.00189265954635752
50,0.0112096438646769,0.00173762662941229
51,0.0283664261613779,0.00254470287759281
52,0.0105853547407371,0.00117480510442628
53,-0.00470880192121133,0.00167290837333374
54,0.000230179866641644,0.00114805383308801
55,0.00789425731671956,0.000693120717934403
56,0.0103533266002735,0.00190487833941817
57,-0.00514109889929173,0.00177260377537387
58,0.00636611078849614,0.00150441338864285
59,0.0129588558819784,0.000841118833263067
60,-0.0109917894456614,0.000860619768368731
61,0.0124709467843349,0.00179056024606914
62,0.029529354061818,0.0014501799685429
63,-0.0125871026325408,0.000831612963836744
64,0.0268504425629658,0.00149766424277507
65,0.00245792558342228,0.000873248322288892
66,-0.0031013623908891,0.000902986491418605
67,-0.0307462799840018,0.00211423730447869
68,0.0108771743087542,0.00138558574596802
69,0.00303160557281712,0.00114036040606509
70,0.0106549154006629,0.000997104997625296
71,-0.00255545904296028,0.0013111826699631
72,-0.0430638817508632,0.00161902807172723
73,0.00771659241594869,0.00151406049478987
74,-0.0179818633179343,0.001148702116348
75,-0.00635647640165575,0.00140144734333244
76,-0.00535771862567147,0.00147765014156706
77,-0.0369663909724269,0.00138480546598207
78,-0.0125399890010108,0.00134414996037887
79,0.00104105225095019,0.00135417554082385
80,-0.000243504218478935,0.000886904278287233
81,-0.0106779348545204,0.00109380062366882
82,0.0105925339681812,0.00190533842170521
83,-0.00984175952941904,0.00160868424124414
84,0.00382452029202549,0.00182540675820734
85,0.00166967899840631,0.00178236909711247
86,-0.00755015857988626,0.00178428916340949
87,-0.0036543543338011,0.0013087606466426
88,-0.0157008636432613,0.000758778883230204
89,0.0157120648394938,0.0014013283061093
90,-0.00362104284503462,0.000860485380359008
91,-0.0037782189633212,0.000937263620111172
92,-0.00222793736169724,0.0011429422760956
93,-0.012182143860086,0.000944286483128362
94,-0.00789838070125323,0.000583006589690962
95,-0.00300976048450569,0.00137018642760611
96,-0.00470532336265428,0.00154092413151193
97,0.0223084398008941,0.000937791181584905
98,0.00127217385573403,0.00130604219964522
99,-0.00474460043385116,0.000952512670336572
100,-0.0017082656095635,0.000913479738761866
