"iteration","j","mu","sigma_2"
1,1,-0.0119902543218274,3.50720452214943e-05
1,2,-0.0191904363267718,0.000428093999153221
1,3,0.0544529711862308,0.000222754411349065
1,4,-0.0723128293277341,0.000218728378045829
1,5,0.045497947426846,0.000405378854619488
1,6,0.0559158443378691,0.000318292426611477
1,7,-0.0794120089116765,0.000216808600271795
1,8,0.0023286926585539,0.000235472232282239
1,9,-0.0499494606242698,0.000240178642711577
1,10,-0.00895409594555292,0.00014976371851194
1,11,0.0235912878605419,0.000578365541907889
1,12,0.03915138432668,0.000429348286459461
1,13,-0.0100299366747043,0.000546975927159726
1,14,-0.0236577260675187,0.000361117458274381
1,15,0.044294156516336,0.000453146529156641
1,16,0.101949319570392,0.000460203385293718
1,17,0.0944767402611628,0.000255730389084259
1,18,-0.00932197071971041,0.000165550546350567
1,19,0.0589306065424303,0.000290391327345123
1,20,0.0585977145243499,0.000250852343063785
1,21,0.0614186969060282,0.00030913843232759
1,22,-0.149662025384331,0.000335075729832691
1,23,0.050611175851439,0.000231311914251197
1,24,0.00441888658587357,0.000603810883009337
1,25,0.00918264391359701,0.000182866841510297
1,26,-0.0463621753150907,0.000245065508252941
1,27,0.0418058751123484,0.00020066564966834
1,28,-0.00801281734034073,0.000174953617962047
1,29,0.0510270541700998,0.000226308246818271
1,30,-0.0172319454799193,0.000441992891419166
1,31,0.012492027614213,0.000203032499468372
1,32,-0.0577723564209641,0.000252036538660845
1,33,0.133974054777069,0.000560008209174679
1,34,-0.0712079689467565,0.000183192090809814
1,35,0.0247179949381386,0.000267336208964395
1,36,-0.0488591478587082,0.000414140440839523
1,37,0.0752086410644842,0.000375693715509021
1,38,-0.0585861033126028,0.000266201392576468
1,39,0.133637107918135,0.000353658304689232
1,40,-0.000845154030366946,0.000216591884734667
2,1,0.00700566438763078,8.50888874680045e-06
2,2,-0.00791386770051697,0.000112211443889632
2,3,-0.0252036980493283,0.000138814669772089
2,4,-0.00343032848683569,4.67730855872721e-05
2,5,0.0205036515432225,4.96727390813279e-05
2,6,-0.02130266022344,0.000103801140069302
2,7,-0.0175702624021168,6.53181687493508e-05
2,8,0.0194853924935702,4.90228909386508e-05
2,9,-0.0170943585825754,4.85405702566674e-05
2,10,-0.00493860530480123,4.81205015691915e-05
2,11,-0.0160230931086279,9.09050314658907e-05
2,12,-0.00458912779751137,6.9298627417034e-05
2,13,-0.0599188319211158,7.91733749859204e-05
2,14,0.0211242626656597,5.22727954550029e-05
2,15,-0.0196198155090165,7.17765285180592e-05
2,16,-0.0108112466017983,4.64407010014044e-05
2,17,-0.0285133696871572,4.90264441225393e-05
2,18,-0.0527653984174655,0.000105896483445436
2,19,-4.36250242994707e-05,0.00011180373609473
2,20,-0.0037571927567097,0.000129968758271553
2,21,0.0494633136709932,5.62263921798453e-05
2,22,-0.0531909145441064,8.42703113459135e-05
2,23,0.109412432400624,5.86906875209213e-05
2,24,-0.049169235426464,5.89536957637959e-05
2,25,0.0475286827691096,4.42240320912648e-05
2,26,-0.0508512607815901,8.13856427338465e-05
2,27,0.101008510262724,4.22813454140293e-05
2,28,-0.0337499704782954,3.99414155724524e-05
2,29,0.0318581769041827,6.40956791349099e-05
2,30,-0.00676107558367054,5.41573605850404e-05
2,31,0.00119132384155313,7.74590906519967e-05
2,32,-0.0361841230443303,3.84691050964168e-05
2,33,0.0585786039421195,6.73911994190755e-05
2,34,-0.0409106291878268,8.97202042817969e-05
2,35,0.0862412802363857,4.71382049462012e-05
2,36,-0.02850634846327,0.000147802156703998
2,37,0.0396357475611618,9.91792513228869e-05
2,38,-0.0938237572319129,4.78225774442583e-05
2,39,0.121078369912804,6.70858345749085e-05
2,40,-0.01360898143265,7.80662069730813e-05
3,1,0.00865556285895473,3.77060743402524e-05
3,2,0.00985887817545178,0.000402361104427839
3,3,0.00119638804020736,0.000231497898969468
3,4,0.0466388439625465,0.000331542242184742
3,5,-0.0196360827016231,0.000356902100947904
3,6,0.0422056643897005,0.000579387799513394
3,7,-0.0107364064666179,0.000263004312230792
3,8,0.0315123908778847,0.000454077433228333
3,9,-0.0473099799191174,0.000335571511096571
3,10,-0.0188790515646055,0.000452018200238135
3,11,-0.0187919852085613,0.000260305078927498
3,12,0.00113483704078599,0.000265958165940903
3,13,0.0190830668616844,0.000407797043155462
3,14,-0.0552139398940407,0.000303505114950394
3,15,0.00803899868092982,0.000464289903755331
3,16,-0.00884930632064948,0.000454980973401595
3,17,0.0394535437741228,0.000202350161648409
3,18,0.00510825220328096,0.00024344437702671
3,19,-0.0219763140577738,0.000384483539703684
3,20,0.018611335473978,0.000453699852017504
3,21,0.0339584929467926,0.000539631984841084
3,22,-0.0829402812141183,0.000501785927018891
3,23,0.0487572206476059,0.000283500719775839
3,24,-0.00298160152279175,0.00042598482583615
3,25,0.00872071062516527,0.000510696244201713
3,26,-0.0291661328005255,0.000164507838980837
3,27,0.0473495299660709,0.000534285007969575
3,28,-0.0421900868082267,0.000526140829094232
3,29,0.0485606148706939,0.000241439946529589
3,30,-0.0568376456704646,0.000470009980882439
3,31,0.0671481758908731,0.000468030181640698
3,32,-0.0224689593251833,0.000219974644687662
3,33,0.0723992939218332,0.000258914684892428
3,34,0.0115295589574102,0.000291854179687562
3,35,0.0693201621241334,0.000449478704505126
3,36,-0.0371285156898966,0.000377784983657273
3,37,0.0238207592475517,0.000479776405445804
3,38,-0.0516037778109533,0.000544269212539093
3,39,0.0192200211724408,0.000206501263990223
3,40,-0.115768298148574,0.000316151866190988
4,1,-0.00367423452735943,5.87750722372472e-05
4,2,-0.0413292035313744,0.000218065315267477
4,3,0.00566330720380548,0.000439202868523118
4,4,0.00830877874707631,0.000310828365156164
4,5,0.0667277027455447,0.00076202441032957
4,6,-0.0193812278477086,0.000420737169569582
4,7,-0.0320126625361578,0.000272896298541383
4,8,-0.0286468309014409,0.000411646490423722
4,9,0.0233529168361018,0.000436702559553965
4,10,-0.00747599492426915,0.000341524843786378
4,11,0.0492006796650502,0.000379267356963126
4,12,0.0221099713484501,0.000296051859425073
4,13,0.0203073729891807,0.000456624750188527
4,14,-0.057714374457532,0.000558316990925504
4,15,-0.000446154253687533,0.000247968894515071
4,16,0.00312035552757728,0.000319534450877463
4,17,0.00173547141054226,0.000348512849022683
4,18,0.000305893096728349,0.000329965835727615
4,19,0.0374123607834659,0.00045572031310163
4,20,-0.0194236126804381,0.000619939143053071
4,21,0.00242533115175525,0.000321608036807161
4,22,-0.00322817670899735,0.000233185372208616
4,23,0.0322360715367362,0.000407486568359045
4,24,-0.113339945818521,0.000370904032056791
4,25,0.0685756702415354,0.000570413271401882
4,26,-0.0318832315786876,0.000266766180358911
4,27,0.0190693959483559,0.00102245906322603
4,28,-0.0366954291346485,0.00069894770993193
4,29,0.100703061467305,0.000669914676202376
4,30,0.0025111899467014,0.0002431260102664
4,31,0.0562583501984563,0.000639341912271272
4,32,-0.0487497783908492,0.000549758470056711
4,33,0.0362735188380358,0.000508650628429932
4,34,-0.0744436757727561,0.00047543118324869
4,35,0.0231151923954551,0.000352194911906247
4,36,-0.0366287138947661,0.0003297488603052
4,37,-0.0264273511022337,0.00062739054705282
4,38,-0.089632530114658,0.000253896699117287
4,39,0.0108980119925591,0.000473399895474833
4,40,-0.0896041171646748,0.000662346704606143
5,1,-0.00197937556904432,8.70611073815165e-06
5,2,-0.0342841392270234,6.08077516436227e-05
5,3,-0.00635539676413061,0.0001531279373939
5,4,-0.0137127804777736,3.73918438707432e-05
5,5,0.00401170038258167,3.86771760755912e-05
5,6,0.00874939256478541,6.95628259771835e-05
5,7,0.0124556646408072,5.02715723387211e-05
5,8,0.00356833215975942,8.15762218921624e-05
5,9,0.027276111611314,7.98901050694364e-05
5,10,-0.0196870608530147,6.63057443204967e-05
5,11,-0.00501966996689259,6.68957236013916e-05
5,12,-0.00599316015569224,0.000116240510867368
5,13,0.00126067580245974,4.43005319247946e-05
5,14,0.0162249833184785,7.52483523630504e-05
5,15,0.0593942449988407,4.13513481679872e-05
5,16,-0.0355690345503458,0.000183239939469437
5,17,0.0201936357750614,9.72861469673481e-05
5,18,0.00176117229129338,6.33194778408947e-05
5,19,-0.0512185630246396,9.17200609566974e-05
5,20,0.00339363685964869,7.08496599029123e-05
5,21,0.0300808689013182,7.07166520972221e-05
5,22,-0.0517841226414762,2.90590573555629e-05
5,23,0.0274094419021733,8.24541151787866e-05
5,24,-0.0392798577361567,4.95722411861806e-05
5,25,0.00693337491600193,4.52200778741836e-05
5,26,0.00577418320772966,7.96804481245879e-05
5,27,0.0307705608828772,4.17085803254047e-05
5,28,-0.0671111154703656,6.58741380449066e-05
5,29,0.0743575255478435,4.26962482507837e-05
5,30,-0.071954461670402,4.47535971186792e-05
5,31,0.117174432013178,7.4703904932143e-05
5,32,-0.128224050358281,9.3597378715484e-05
5,33,0.0212142913886073,0.000109275381514403
5,34,-0.0783456088896061,5.50736429566898e-05
5,35,0.0570960064870745,0.000105958500254027
5,36,-0.0779014455899436,6.16450860284276e-05
5,37,0.0116870797040146,8.44282255769314e-05
5,38,-0.111142127332174,4.8824097306703e-05
5,39,0.0404478673390824,5.65875079024817e-05
5,40,-0.0215292596842132,7.66487925204662e-05
6,1,-0.00134602451221979,1.38144356094475e-05
6,2,-0.0112049432513692,0.000108743312970856
6,3,-0.0466816544417392,0.000195704740936961
6,4,-0.0330430880231472,0.000237987548388458
6,5,0.0280663186183024,7.16996278431272e-05
6,6,0.0054459123560073,0.000221374431818279
6,7,0.00549568060043348,8.80835941166701e-05
6,8,-0.009793408936212,8.78209220538254e-05
6,9,0.0125202846910901,0.000196961753638741
6,10,-0.0423674639036187,0.000110558519170906
6,11,0.0498944998351901,0.00018108434730493
6,12,-0.0456853717780882,0.000201591209372158
6,13,-0.0515253927273764,0.00021670442761494
6,14,0.0327133503941702,8.35096886305714e-05
6,15,0.0131772125564126,0.000122128552396257
6,16,0.052528131128634,0.000212421740697233
6,17,-0.0377426235112328,0.000138925692874963
6,18,0.0251178983639929,0.000343702592136339
6,19,0.00625047502076462,0.000132691398656603
6,20,0.000566584729375744,0.00017910106503669
6,21,0.0251395554629945,0.000145055318362844
6,22,-0.0448666144695514,0.000144702360353957
6,23,0.0488380237022176,8.08733569905671e-05
6,24,-0.046944687711162,8.59188130697765e-05
6,25,0.102439892588291,0.000107625413623597
6,26,-0.12092963129679,9.69204733954607e-05
6,27,0.0158155564201568,9.04884831936023e-05
6,28,-0.0558796391336761,0.000235135109455244
6,29,0.0418204860708303,0.000134141257263054
6,30,-0.0280793159020887,0.000128763024891052
6,31,0.0502437113857345,0.000208257921168586
6,32,-0.0922356380477024,0.000185246496429417
6,33,0.0870696496470705,0.000116820936287433
6,34,-0.0456810853080196,0.000130421497803783
6,35,0.0933873487059585,0.000144108211385659
6,36,-0.059709022261293,0.000331695489529468
6,37,0.0721699153329609,0.000215595379966426
6,38,-0.0776183494858283,0.000284595467534732
6,39,0.0833149756350983,0.00015554208222338
6,40,-0.0382381031097034,0.000136716521879348
7,1,0.00367976012770855,1.08055464855943e-05
7,2,-0.00807281178163941,6.15175314189743e-05
7,3,-0.0111609401784997,7.65036950525066e-05
7,4,0.00663107598049859,0.000102656686588369
7,5,0.00579019886400514,6.1363603882787e-05
7,6,0.0330803661537225,5.76124441944603e-05
7,7,-0.00692434059878269,0.000105861533660785
7,8,-0.0340110739546193,7.68359726337771e-05
7,9,0.0269071159427852,8.65574898497752e-05
7,10,-0.0372378750595471,9.40217708009367e-05
7,11,-0.016812648028358,6.53602745950384e-05
7,12,-0.028698819551648,5.58615729690308e-05
7,13,0.0622467058611852,9.54788941120147e-05
7,14,0.047604563895193,9.51955670466608e-05
7,15,-0.0245203915446405,5.83059704545623e-05
7,16,0.0445961714924393,0.000130387281741315
7,17,0.0116438364977868,6.76160262569751e-05
7,18,0.0560342198731264,0.000132428970174087
7,19,-0.00112350063350402,7.16644551242879e-05
7,20,0.0108065520720458,9.23471307160121e-05
7,21,0.0158515668369829,6.19613595043671e-05
7,22,0.00780073588666697,8.45843412053812e-05
7,23,0.102335098245175,0.000176112137515897
7,24,-0.0837484202911752,0.000195661186107829
7,25,0.110662526632217,0.00013910177128072
7,26,-0.0459345853367495,7.04405247489675e-05
7,27,0.0274377955070219,0.000237758265686296
7,28,-0.0514626704793601,0.000106597595160731
7,29,0.0274996695409691,8.4069757183217e-05
7,30,0.00145063207256838,0.000163159862839398
7,31,0.0439727660507108,8.00320724426665e-05
7,32,-0.0898474665159036,0.000141473735663227
7,33,0.0697809849569232,6.03588286734223e-05
7,34,-0.044950437065664,3.72111039001e-05
7,35,0.00210184542933864,7.31187074230625e-05
7,36,-0.0506714370941138,0.000160325496010495
7,37,0.0834121844577385,9.11660382678515e-05
7,38,0.0204470016287089,0.000132760538358176
7,39,0.00585076137575016,5.3561939453477e-05
7,40,-0.0781058935920118,0.000128156241100002
8,1,-0.020967495552012,4.99552965778842e-05
8,2,-0.0598735420059805,0.000339861870027668
8,3,-0.00276956656996743,0.000391655790086602
8,4,-0.0275126770826524,0.000299228880211447
8,5,-0.0141514178816993,0.000583002945925826
8,6,-0.0150990543664215,0.00027391191551096
