iteration,j,mu,sigma_2
1,1,-0.0116382805868815,3.25695926772233e-05
1,2,-0.0230176278241779,0.000603171154183688
1,3,0.0556316715233496,0.000278083314171515
1,4,-0.0744794300373372,0.000251820185312609
1,5,0.0513005460490115,0.000593156962456857
1,6,0.0564830412703432,0.000358428936399266
1,7,-0.0807739618346756,0.000230191515401815
1,8,0.00279657143154027,0.000258948918144084
1,9,-0.0556345098930086,0.000358218145993685
1,10,-0.00950569263547509,0.000163035373601235
1,11,0.0195018572507501,0.00077222929038129
1,12,0.045343589992054,0.000594835229926498
1,13,-0.0194846688496926,0.00092407273885692
1,14,-0.0284620182773192,0.000476065139529167
1,15,0.0441177453885505,0.000643786319045888
1,16,0.107587744414111,0.00065025425585812
1,17,0.0961549857236783,0.00028107686615697
1,18,-0.0100380194431145,0.000166411337766889
1,19,0.0619499188226493,0.000372763960023284
1,20,0.0581421805582181,0.000279512149538942
1,21,0.0644670155503061,0.000406987073155322
1,22,-0.152431474908062,0.000370351067201972
1,23,0.05115339797492,0.000258502557311895
1,24,0.0121902572602214,0.000924289587127386
1,25,0.00774332441717064,0.000236205860108016
1,26,-0.0435120987144107,0.000295458586552409
1,27,0.0409723121778367,0.000274955536654773
1,28,-0.0066111709999646,0.000219176385514518
1,29,0.0493087025011782,0.000272365283198224
1,30,-0.014813651730534,0.000548036604329678
1,31,0.0134372721757894,0.000229704629457095
1,32,-0.0571755791475946,0.000309192709412088
1,33,0.14319727668197,0.000863567745218114
1,34,-0.0748585825511736,0.000262858851097761
1,35,0.025513333156387,0.000349947391805952
1,36,-0.0474962123485918,0.000560180643665727
1,37,0.0794711224371701,0.000503108216235473
1,38,-0.0555721753393729,0.000322055809293219
1,39,0.134421394227736,0.000421687885718285
1,40,0.000800166601874283,0.000281411684454862
1,41,-3.30218822529871,0.00756661741122697
2,1,0.00706915953002649,7.02520409271484e-06
2,2,-0.00915308734939659,0.000112094980759689
2,3,-0.0248521796580465,0.000188868984330267
2,4,-0.00423500617358667,5.03085911024425e-05
2,5,0.0226459804780698,4.09872725683316e-05
2,6,-0.0240078930126142,0.000116263073455489
2,7,-0.0191716819227571,6.28813699578283e-05
2,8,0.0199505497673356,4.29794516742413e-05
2,9,-0.0183658458202007,4.81882059819669e-05
2,10,-0.00472960666589071,5.23066326668282e-05
2,11,-0.0156579581204688,8.99714659903602e-05
2,12,-0.00447613721125497,6.23985853583858e-05
2,13,-0.0627395552658663,6.84505785363291e-05
2,14,0.0204424950797893,4.91756156555318e-05
2,15,-0.020507270588745,6.4744261664547e-05
2,16,-0.0126124491027959,4.72809607337303e-05
2,17,-0.0297163486951674,4.48516568085604e-05
2,18,-0.0545789390959651,0.000116993019478409
2,19,-0.000621346103315693,0.000132366002846693
2,20,-0.00487500143832048,0.0001634075433338
2,21,0.0495475766788022,4.45984000967506e-05
2,22,-0.0523189289830946,0.000105981272496282
2,23,0.11150249400443,5.07863264386458e-05
2,24,-0.0502431590517095,5.67382288861489e-05
2,25,0.048809219898303,3.30072309053867e-05
2,26,-0.0503158622196083,9.00442584600836e-05
2,27,0.100975986196642,4.12579730651425e-05
2,28,-0.0333454872408687,4.17184476382699e-05
2,29,0.0331878811026901,7.56786976556308e-05
2,30,-0.00665075564446792,4.9973090927017e-05
2,31,-0.000378904503450517,8.58146485631566e-05
2,32,-0.0366756404528566,3.34579155054586e-05
2,33,0.0574454959760105,5.66190688118374e-05
2,34,-0.0406820834593562,8.73779524586269e-05
2,35,0.0859507174787409,4.45831414390621e-05
2,36,-0.0301889511083418,0.000195130428791317
2,37,0.0407401111859691,0.000127229051759482
2,38,-0.0952229084317274,4.94619938841338e-05
2,39,0.12211883993013,7.94067518689497e-05
2,40,-0.0135029478270245,8.15004250651276e-05
2,41,-4.15835781885924,0.00648748962552061
