"iteration","j","mu","sigma_2"
1,1,0.0277279118231868,3.37364413540275e-05
1,2,0.0747021073729991,0.00387066181987646
1,3,0.0226255762790179,0.00194672224223357
1,4,0.0121453372565421,0.00145799193948567
1,5,-0.0197946071011516,0.00180654534056955
1,6,0.010053917817866,0.00155620546427302
1,7,0.0030396154184951,0.00159544485946542
1,8,-0.00961609372809125,0.00146009038377925
1,9,0.00935850173354268,0.00157161315300408
1,10,-0.00848224160309189,0.00140338378988209
1,11,-0.0285685272765068,0.0020216347745405
1,12,0.0274651427402351,0.0018522584451843
1,13,0.0229147855447043,0.00181037738735747
1,14,0.0216132396688378,0.001780757661744
1,15,-0.0153722060360669,0.00179985878144841
1,16,0.030558708212596,0.00194454354034243
1,17,-0.00632141823536482,0.00146292524805949
1,18,0.00691103244333359,0.00160231636114172
1,19,0.00143268141748416,0.00149886289892835
1,20,0.00833981252471922,0.00159710555399456
1,21,0.0335948456086419,0.00237709182780248
1,22,-0.00475058172188161,0.00145803129096723
1,23,0.0118964236445906,0.00170859655203108
1,24,0.0241348395070156,0.00193173613917741
1,25,-0.0112043264468298,0.00146377104995351
1,26,-0.0473688224359738,0.00274269330430073
1,27,0.015827122022598,0.00155468764706779
1,28,-0.0206286540779305,0.00181976347034443
1,29,-0.00565749284740711,0.00143814463254125
1,30,-0.000402170161241626,0.0015363947844995
1,31,0.0154775053162372,0.00175583567109637
1,32,0.00606129146948276,0.00150057459430604
1,33,0.0203482778407815,0.00177225689626096
1,34,-0.0451580263499939,0.00275396085205583
1,35,0.00459637046472053,0.00133227796267401
1,36,-0.0441369077630859,0.00236544605969485
1,37,-0.00342804623722493,0.00138759705942562
1,38,-0.0108917717083779,0.00151521573096658
1,39,0.0213951241023268,0.00164719411336262
1,40,-0.0384653359992274,0.00205819043684175
1,41,-3.99735534477672,0.0240135606998255
2,1,0.00640066460083089,2.26484755363432e-05
2,2,-0.0281440153542398,0.00162352984950915
2,3,-0.0131980738024901,0.00131323496867332
2,4,0.0122256493360784,0.00120377162709979
2,5,0.0132506676534635,0.00113859174899885
2,6,-0.00282484167928259,0.00104653180160801
2,7,0.0074297480937194,0.00108123773653665
2,8,0.00205740440158621,0.00110852182415953
2,9,0.00179773890977188,0.00113477661778906
2,10,-0.0177043694251002,0.00117273824945808
2,11,0.0140930796524052,0.00119041559190902
2,12,-0.0215528192220781,0.0011608755875335
2,13,0.00687628120612834,0.00108270244309638
2,14,0.0047507112791243,0.00106209766939005
2,15,0.0148827955181829,0.00117440102377903
2,16,-0.00745571589424518,0.00117698264053487
2,17,0.00266946469755177,0.00109410256508902
2,18,-0.00246042842144746,0.00106973271987243
2,19,-0.033885185482122,0.00173533130653597
2,20,-0.0102917837909279,0.00103700312081351
2,21,-0.0122804105441183,0.00104151506855656
2,22,-0.0321081648045459,0.00162494049741835
2,23,0.031428432333555,0.00165484831095766
2,24,-0.032697476613653,0.00140522401460864
2,25,-0.000365331488408946,0.00102857736523016
2,26,-0.0357478762517429,0.00176643703383816
2,27,0.0290325253556967,0.00159930419138833
2,28,-0.0129832988167802,0.00121561079994348
2,29,0.0519290353364834,0.00265431237722058
2,30,0.0040218178100073,0.000933129217274331
