"iteration","j","mu","sigma_2"
1,1,0.0276822539571787,4.1083493704946e-05
1,2,0.0707686188202831,0.00456625428294393
1,3,0.0236691928814535,0.00253473744415434
1,4,0.0120738856238405,0.00196285524496818
1,5,-0.0208766962025326,0.00245424238672584
1,6,0.0109830048309714,0.00205350123520274
1,7,0.00316890140725498,0.00221728826187672
1,8,-0.00995488073503009,0.00191861281098389
1,9,0.0104713202926712,0.00212956519371433
1,10,-0.00890554130654829,0.00192122749007281
1,11,-0.0288016082863728,0.00258650236499339
1,12,0.0281692242063795,0.00239508860456663
1,13,0.0237444541333022,0.00242678558622276
1,14,0.0221368465492578,0.00231896147517862
1,15,-0.0161701155605755,0.00238877986265967
1,16,0.0311427938350724,0.00249528324919428
1,17,-0.00641706919666639,0.00194270045971517
1,18,0.00717816417113039,0.0021470550569474
1,19,0.00187625878243888,0.00200589658835995
1,20,0.008542301072266,0.00212921760429396
1,21,0.0341308182391638,0.003122672929003
1,22,-0.00521210912769266,0.00196537337360732
1,23,0.0127653593184927,0.00227966265540591
1,24,0.0246650543691218,0.00254852971656391
1,25,-0.0119245457517457,0.00197976785945028
1,26,-0.0464656216365375,0.00335821604939346
1,27,0.0166768591236503,0.00208384161661332
1,28,-0.0214755678955717,0.00235832388911186
1,29,-0.00587141657641573,0.00191491998172008
1,30,-0.000135491390102967,0.0020379552448245
1,31,0.0166065943844909,0.00235081662025835
1,32,0.00684639719042856,0.0020223112554427
1,33,0.0209355887514555,0.00228130837213773
1,34,-0.0448623443945473,0.00337333029567387
1,35,0.00479133656522158,0.00180082051074344
1,36,-0.043051579361225,0.0029210506355691
1,37,-0.00352692638828812,0.00189103411391604
1,38,-0.010806223491244,0.00199806795643473
1,39,0.0214829294833198,0.00209526664926939
1,40,-0.0377266779760835,0.00253558966319391
1,41,-3.98104068517903,0.071580053759864
2,1,0.0064012909145942,2.67366713967264e-05
2,2,-0.0285137459767216,0.00209918616257891
2,3,-0.0144797643184698,0.00180351088940904
2,4,0.0126627736876436,0.0015915674849634
2,5,0.0138380028226877,0.00148602156742191
2,6,-0.00334931519056115,0.00147112551569835
2,7,0.00781161526785756,0.00140118353028511
2,8,0.00235767045221862,0.00150168670772638
2,9,0.0020362671694334,0.00148450903147104
2,10,-0.017962867306678,0.00150512663824875
2,11,0.014510248783115,0.00159267948079046
2,12,-0.021901428918682,0.00147863580920769
2,13,0.00719149040548718,0.00144841668727213
2,14,0.00497894065487577,0.00143620632080331
2,15,0.0155359461055268,0.00152695313284118
2,16,-0.00814908058966005,0.00151916619344886
2,17,0.00259790817387424,0.00146846925838333
2,18,-0.00237589319615188,0.00142261897623873
2,19,-0.0341530289493448,0.0022363870917981
2,20,-0.0108935635883428,0.00138046333737143
2,21,-0.0135626904938491,0.00140880050254143
2,22,-0.0324914585799104,0.00214219069555614
2,23,0.0311782703910688,0.00207666172933899
2,24,-0.0324368264910365,0.00175206285238764
2,25,-0.000150489747049198,0.00136461190013912
2,26,-0.035201711284874,0.00224932749640875
2,27,0.0298779786004695,0.00209593270131148
2,28,-0.0136282103655338,0.00160246694621984
2,29,0.0502072798286179,0.00322595980246454
2,30,0.0042258515818603,0.00121524572295903
2,31,0.0148507486446775,0.00156301973304075
2,32,-0.0545702182385628,0.00326307250974571
2,33,-0.00819728345136017,0.00154704778129348
2,34,0.0101334618357802,0.00140332657404104
2,35,0.00672168899066767,0.00152263805783552
2,36,-0.00773853396422826,0.00147054890040686
2,37,0.0313237391003805,0.00183156208089866
2,38,0.0179977659561319,0.00157320416829582
2,39,0.00839164968402672,0.00144932287647896
2,40,-0.00216227996406831,0.00132515864940919
2,41,-4.15493661791595,0.0699716730330729
3,1,-0.0287792046824888,3.38642953442127e-05
3,2,-0.0221083945275511,0.0020043384943487
3,3,-0.0525605437752731,0.00333137615627574
3,4,-0.0143247285835518,0.00189035414649358
3,5,0.0153375420896401,0.00183568115531321
3,6,0.0112459236995753,0.00181635877755528
3,7,0.0321518715232952,0.00223927413862585
3,8,0.0384124829260121,0.00256898501551951
3,9,0.00259628007863413,0.00153291086108829
3,10,0.010489145215302,0.00179004877170189
3,11,0.0222862071712256,0.00205532238254049
3,12,-0.0240875847435131,0.00218031525529014
3,13,0.00239197942159094,0.00164902858057064
3,14,-0.00251561586495066,0.00193601437738009
3,15,-0.00822994114584352,0.00177712264193499
3,16,-0.016124009089434,0.0019428159762151
3,17,0.000558764112294057,0.00195155169178703
3,18,0.000746558863279839,0.00164049306943167
3,19,-0.0208878827410933,0.00201491364034717
3,20,0.0160162726422979,0.00153381728015773
3,21,0.0174885371971896,0.00195196743042828
3,22,-0.00098958467276903,0.00142543919780032
3,23,0.0414801029480583,0.00290970247077861
3,24,-0.00407868957527662,0.00151016436816068
3,25,-0.00500473706962262,0.00135138936286111
3,26,-0.00414762318550388,0.00160105851814812
3,27,0.0181299136316525,0.00215257696850189
3,28,-6.70296624399117e-05,0.00177883973387033
3,29,0.0198105493520433,0.00195163751145296
3,30,-0.016735298797629,0.0019384468340846
3,31,0.0545344750015934,0.00278372271797818
3,32,-0.00791045282375596,0.00151048689648582
